SnowToday Calculated SWE Summary Data : 2024-03-05
Column01 : site name
Column02 : latitude
Column03 : longitude
Column04 : elevation
Column05 : SWE (cm)
Column06 : percent of median long-term (25+yr) SWE on this date
Column07 : percent of long-term (25+yr) peak SWE
Column08 : daily change in SWE (cm)
Column09 : State
Column10 : HUC02
Column11 : HUC04
Name,Lat,Lon,Elev_m,SWE,normSWE,percentPeakSWE,dSWE,State,HUC02,HUC04
Meadow Lake,44.4400,-113.3200,2788.9,26.9,88.0,58.0,0.0,USID,HUC17,NaN
Mica Creek,47.1500,-116.2700,1374.6,34.8,69.0,58.0,1.3,USID,HUC17,NaN
Mill Creek Summit,44.4700,-114.4900,2682.2,38.6,96.0,68.0,0.8,USID,HUC17,NaN
Moonshine,44.4100,-113.4000,2267.7,20.8,100.0,77.0,0.0,USID,HUC17,NaN
Moose Creek,45.6700,-113.9500,1889.8,27.4,77.0,62.0,0.0,USID,HUC17,NaN
Mores Creek Summit,43.9300,-115.6700,1859.3,57.7,89.0,72.0,0.8,USID,HUC17,NaN
Morgan Creek,44.8400,-114.2700,2316.5,23.1,105.0,77.0,0.0,USID,HUC17,NaN
Moscow Mountain,46.8100,-116.8500,1432.6,36.3,NaN,NaN,0.5,USID,HUC17,NaN
Mosquito Ridge,48.0600,-116.2300,1603.2,55.9,78.0,61.0,1.3,USID,HUC17,NaN
Mountain Meadows,45.7000,-115.2300,1926.3,45.5,100.0,74.0,1.0,USID,HUC17,NaN
Mud Flat,42.6000,-116.5600,1746.5,20.3,118.0,114.0,0.0,USID,HUC17,NaN
Myrtle Creek,48.7200,-116.4600,1072.9,10.2,NaN,NaN,0.5,USID,HUC17,NaN
Oxford Spring,42.2600,-112.1300,2054.4,41.4,165.0,142.0,0.8,USID,HUC16,NaN
Pierce R.S.,46.5000,-115.8000,938.8,18.8,NaN,NaN,0.5,USID,HUC17,NaN
Pine Creek Pass,43.5700,-111.2100,2048.3,42.7,120.0,104.0,0.0,USID,HUC17,NaN
Prairie,43.5100,-115.5700,1463.0,19.1,150.0,136.0,0.5,USID,HUC17,NaN
Ragged Mountain,47.8600,-117.0400,1283.2,35.3,NaN,NaN,2.5,USID,HUC17,NaN
Reynolds Creek,43.2900,-116.8400,1706.9,25.9,NaN,NaN,0.0,USID,HUC17,NaN
Savage Pass,46.4700,-114.6300,1886.7,41.7,78.0,61.0,0.0,USID,HUC17,NaN
Schwartz Lake,44.8500,-113.8400,2630.4,21.3,100.0,74.0,0.0,USID,HUC17,NaN
Schweitzer Basin,48.3700,-116.6400,1856.2,77.5,77.0,58.0,3.3,USID,HUC17,NaN
Secesh Summit,45.1900,-115.9700,1993.4,52.8,82.0,63.0,0.0,USID,HUC17,NaN
Sedgwick Peak,42.5200,-111.9600,2392.7,48.3,121.0,91.0,0.5,USID,HUC17,NaN
Shanghi Summit,46.5700,-115.7400,1402.1,33.8,60.0,51.0,0.8,USID,HUC17,NaN
Sheep Mtn.,43.2100,-111.6900,2026.9,37.6,127.0,110.0,0.5,USID,HUC17,NaN
Sherwin,46.9500,-116.3400,975.4,15.2,63.0,55.0,0.0,USID,HUC17,NaN
Slug Creek Divide,42.5600,-111.3000,2202.2,46.5,137.0,108.0,0.8,USID,HUC17,NaN
Smiley Mountain,43.7300,-113.8300,2901.7,36.8,NaN,NaN,0.0,USID,HUC17,NaN
Soldier R.S.,43.4800,-114.8300,1749.6,27.9,113.0,96.0,4.3,USID,HUC17,NaN
Somsen Ranch,42.9500,-111.3600,2072.6,39.4,139.0,118.0,0.0,USID,HUC17,NaN
South Mtn.,42.7600,-116.9000,1981.2,50.5,139.0,109.0,1.0,USID,HUC17,NaN
Stickney Mill,43.8600,-114.2100,2264.7,19.1,109.0,88.0,0.0,USID,HUC17,NaN
Sunset,47.5600,-115.8200,1688.6,30.0,60.0,45.0,0.0,USID,HUC17,NaN
Swede Peak,43.6300,-113.9700,2328.7,29.0,99.0,74.0,0.0,USID,HUC17,NaN
Trinity Mtn.,43.6300,-115.4400,2368.3,62.7,86.0,64.0,1.0,USID,HUC17,NaN
Van Wyck,44.3800,-116.3400,1499.6,12.7,NaN,NaN,0.0,USID,HUC17,NaN
Vienna Mine,43.8000,-114.8500,2731.0,60.5,96.0,68.0,0.8,USID,HUC17,NaN
West Branch,45.0700,-116.4500,1694.7,41.7,85.0,73.0,0.8,USID,HUC17,NaN
White Elephant,44.5300,-111.4100,2350.0,53.1,101.0,70.0,1.3,USID,HUC17,NaN
Wildhorse Divide,42.7600,-112.4800,1978.2,52.3,157.0,121.0,0.5,USID,HUC17,NaN
Wilson Creek,42.0100,-115.0000,2170.2,37.1,112.0,107.0,0.0,USID,HUC17,NaN
Albro Lake,45.6000,-111.9600,2529.8,26.2,77.0,46.0,0.0,USMT,HUC10,NaN
Badger Pass,48.1300,-113.0200,2103.1,39.9,58.0,43.0,0.5,USMT,HUC17,NaN
Banfield Mountain,48.5700,-115.4500,1706.9,30.0,83.0,64.0,0.5,USMT,HUC17,NaN
Barker Lakes,46.1000,-113.1300,2514.6,18.3,67.0,41.0,0.0,USMT,HUC17,NaN
Basin Creek,45.8000,-112.5200,2188.5,15.2,105.0,60.0,0.0,USMT,HUC17,NaN
Beagle Springs,44.4700,-112.9800,2697.5,21.6,125.0,77.0,0.0,USMT,HUC10,NaN
Beaver Creek,44.9500,-111.3600,2392.7,30.7,85.0,62.0,0.0,USMT,HUC10,NaN
Bisson Creek,47.6800,-114.0000,1499.6,16.8,82.0,63.0,0.0,USMT,HUC17,NaN
Black Bear,44.5100,-111.1300,2490.2,69.1,89.0,65.0,1.3,USMT,HUC10,NaN
Black Pine,46.4100,-113.4300,2197.6,16.8,73.0,54.0,0.0,USMT,HUC17,NaN
Blacktail Mtn,47.9800,-114.3500,1722.1,17.3,NaN,NaN,0.0,USMT,HUC17,NaN
Bloody Dick,45.1700,-113.5000,2316.5,18.8,77.0,57.0,0.0,USMT,HUC10,NaN
Boulder Mountain,46.5600,-111.2900,2423.2,27.9,67.0,48.0,0.0,USMT,HUC10,NaN
Box Canyon,45.2700,-110.2500,2033.0,16.3,82.0,61.0,0.0,USMT,HUC10,NaN
Brackett Creek,45.8900,-110.9400,2231.1,33.0,80.0,52.0,0.8,USMT,HUC10,NaN
Burnt Mtn,45.2400,-109.4600,1792.2,9.1,NaN,NaN,0.0,USMT,HUC10,NaN
Calvert Creek,45.8800,-113.3300,1959.9,11.9,65.0,54.0,0.0,USMT,HUC10,NaN
Carrot Basin,44.9600,-111.2900,2743.2,43.7,82.0,56.0,0.0,USMT,HUC10,NaN
Clover Meadow,45.0200,-111.8500,2621.3,25.4,78.0,52.0,0.0,USMT,HUC10,NaN
Cole Creek,45.1900,-109.3500,2392.7,13.2,50.0,26.0,-0.5,USMT,HUC10,NaN
Combination,46.4700,-113.3900,1706.9,7.1,64.0,53.0,0.0,USMT,HUC17,NaN
Copper Bottom,47.0600,-112.6000,1585.0,11.4,56.0,47.0,-0.8,USMT,HUC17,NaN
Copper Camp,47.0800,-112.7300,2118.4,NaN,NaN,NaN,NaN,USMT,HUC17,NaN
Crystal Lake,46.7900,-109.5100,1844.0,NaN,NaN,NaN,NaN,USMT,HUC10,NaN
Daisy Peak,46.6700,-110.3300,2316.5,16.0,79.0,52.0,0.0,USMT,HUC10,NaN
Daly Creek,46.1800,-113.8500,1761.7,19.3,86.0,69.0,0.0,USMT,HUC17,NaN
Darkhorse Lake,45.1700,-113.5800,2726.4,46.0,77.0,53.0,0.5,USMT,HUC10,NaN
Deadman Creek,46.7900,-110.6800,1966.0,17.8,83.0,65.0,0.0,USMT,HUC10,NaN
Divide,44.7900,-112.0600,2377.4,18.0,89.0,58.0,0.0,USMT,HUC10,NaN
Dupuyer Creek,48.0600,-112.7600,1752.6,9.1,51.0,37.0,0.0,USMT,HUC10,NaN
East Boulder Mine,45.5000,-110.0800,1930.9,10.2,NaN,NaN,0.0,USMT,HUC10,NaN
Elk Peak,46.4800,-110.7100,2316.5,NaN,NaN,NaN,NaN,USMT,HUC10,NaN
Emery Creek,48.4300,-113.9400,1325.9,29.5,91.0,77.0,1.5,USMT,HUC17,NaN
Fisher Creek,45.0600,-109.9400,2773.7,46.2,68.0,48.0,0.8,USMT,HUC10,NaN
Flattop Mtn.,48.8000,-113.8600,1920.2,73.9,80.0,61.0,1.8,USMT,HUC17,NaN
Frohner Meadow,46.4400,-112.1900,1975.1,11.7,74.0,52.0,0.5,USMT,HUC10,NaN
Garver Creek,48.9800,-115.8200,1295.4,20.3,94.0,77.0,1.3,USMT,HUC17,NaN
Grave Creek,48.9100,-114.7700,1310.6,30.5,89.0,76.0,0.0,USMT,HUC17,NaN
Hand Creek,48.3100,-114.8400,1534.7,23.1,95.0,78.0,0.0,USMT,HUC17,NaN
Hawkins Lake,48.9700,-115.9500,1966.0,44.5,85.0,61.0,1.0,USMT,HUC17,NaN
Hoodoo Basin,46.9800,-115.0300,1844.0,56.9,67.0,51.0,0.8,USMT,HUC17,NaN
JL Meadow,44.7800,-113.1200,2682.2,23.9,NaN,NaN,0.0,USMT,HUC10,NaN
Kraft Creek,47.4300,-113.7800,1447.8,20.8,71.0,60.0,-0.5,USMT,HUC17,NaN
Lakeview Ridge,44.5900,-111.8200,2255.5,15.8,77.0,55.0,0.0,USMT,HUC10,NaN
Lemhi Ridge,44.9900,-113.4400,2468.9,18.8,87.0,60.0,0.0,USMT,HUC10,NaN
Lick Creek,45.5000,-110.9700,2090.9,14.7,68.0,45.0,0.0,USMT,HUC10,NaN
Lone Mountain,45.2700,-111.4300,2706.6,26.2,73.0,46.0,0.5,USMT,HUC10,NaN
Lower Twin,45.5100,-111.9200,2407.9,28.4,84.0,55.0,0.8,USMT,HUC10,NaN
Lubrecht Flume,46.8800,-113.3200,1426.5,9.7,76.0,66.0,0.0,USMT,HUC17,NaN
Madison Plateau,44.5900,-111.1200,2362.2,41.9,89.0,64.0,0.8,USMT,HUC10,NaN
Many Glacier,48.8000,-113.6700,1493.5,NaN,NaN,NaN,NaN,USMT,NaN,NaN
Monument Peak,45.2200,-110.2400,2697.5,30.0,74.0,50.0,0.0,USMT,HUC10,NaN
Moss Peak,47.6800,-113.9600,2066.5,60.7,79.0,56.0,0.0,USMT,HUC17,NaN
Mount Lockhart,47.9200,-112.8200,1950.7,27.4,68.0,50.0,0.0,USMT,HUC10,NaN
Mule Creek,45.4100,-112.9600,2529.8,22.6,74.0,51.0,0.5,USMT,HUC10,NaN
N Fk Elk Creek,46.8700,-113.2800,1905.0,16.5,70.0,52.0,0.5,USMT,HUC17,NaN
Nevada Ridge,46.8400,-112.5100,2139.7,23.9,75.0,58.0,0.0,USMT,HUC17,NaN
Nez Perce Camp,45.7300,-114.4800,1722.1,28.4,99.0,79.0,1.0,USMT,HUC17,NaN
Noisy Basin,48.1600,-113.9500,1841.0,79.8,95.0,67.0,0.5,USMT,HUC17,NaN
North Fork Jocko,47.2700,-113.7600,1929.4,60.7,70.0,54.0,0.0,USMT,HUC17,NaN
Northeast Entrance,45.0100,-110.0100,2240.3,11.7,53.0,44.0,0.0,USMT,HUC10,NaN
Onion Park,46.9100,-110.8500,2258.6,19.6,NaN,NaN,0.0,USMT,HUC10,NaN
Peterson Meadows,46.1300,-113.3100,2194.6,17.0,88.0,55.0,0.0,USMT,HUC17,NaN
Pickfoot Creek,46.5800,-111.2700,2026.9,9.1,41.0,31.0,0.0,USMT,HUC10,NaN
Pike Creek,48.3000,-113.3300,1807.5,9.4,22.0,17.0,1.0,USMT,HUC10,NaN
Placer Basin,45.4200,-110.0900,2691.4,26.4,76.0,49.0,0.0,USMT,HUC10,NaN
Poorman Creek,48.1300,-115.6200,1554.5,53.9,75.0,60.0,2.0,USMT,HUC17,NaN
Porcupine,46.1100,-110.4700,1981.2,9.4,70.0,51.0,0.0,USMT,HUC10,NaN
Rocker Peak,46.3600,-112.2600,2438.4,20.6,75.0,47.0,0.0,USMT,HUC10,NaN
Rocky Boy,48.1700,-109.6500,1432.6,7.1,65.0,51.0,0.5,USMT,HUC10,NaN
S Fork Shields,46.0900,-110.4300,2468.9,11.4,37.0,22.0,0.0,USMT,HUC10,NaN
Sacajawea,45.8700,-110.9300,1996.4,21.1,73.0,54.0,0.5,USMT,HUC10,NaN
Saddle Mtn.,45.6900,-113.9700,2420.1,37.9,76.0,56.0,0.5,USID,HUC17,NaN
Short Creek,44.9800,-111.9500,2133.6,10.2,85.0,64.0,0.0,USMT,HUC10,NaN
Shower Falls,45.4000,-110.9600,2468.9,30.0,72.0,43.0,0.0,USMT,HUC10,NaN
Skalkaho Summit,46.2400,-113.7700,2209.8,32.3,71.0,52.0,0.0,USMT,HUC17,NaN
Sleeping Woman,47.1800,-114.3300,1874.5,23.4,73.0,54.0,0.0,USMT,HUC17,NaN
Spur Park,46.7800,-110.6200,2468.9,30.0,67.0,48.0,0.0,USMT,HUC10,NaN
Stahl Peak,48.9100,-114.8600,1837.9,69.6,98.0,69.0,1.3,USMT,HUC17,NaN
Stringer Creek,46.9300,-110.9000,1996.4,18.0,NaN,NaN,0.0,USMT,HUC10,NaN
Stuart Mountain,47.0000,-113.9300,2255.5,42.4,64.0,46.0,0.5,USMT,HUC17,NaN
Tepee Creek,44.7900,-111.7100,2438.4,24.9,94.0,67.0,0.0,USMT,HUC10,NaN
Tizer Basin,46.3500,-111.8500,2097.0,14.2,76.0,53.0,0.0,USMT,HUC10,NaN
Twelvemile Creek,46.1400,-114.4500,1706.9,34.0,93.0,77.0,0.0,USMT,HUC17,NaN
Twin Lakes,46.1400,-114.5100,1950.7,56.9,71.0,55.0,0.5,USMT,HUC17,NaN
Waldron,47.9200,-112.7900,1706.9,12.7,56.0,43.0,0.0,USMT,HUC10,NaN
Warm Springs,46.2700,-113.1600,2377.4,32.0,79.0,50.0,0.0,USMT,HUC17,NaN
West Yellowstone,44.6600,-111.0900,2042.2,18.8,80.0,61.0,0.0,USMT,HUC10,NaN
Whiskey Creek,44.6100,-111.1500,2072.6,27.7,89.0,65.0,0.0,USMT,HUC10,NaN
White Mill,45.0500,-109.9100,2651.8,34.0,69.0,48.0,0.5,USMT,HUC10,NaN
Wood Creek,47.4500,-112.8100,1816.6,13.5,69.0,52.0,0.0,USMT,HUC10,NaN
Bateman,36.5100,-106.3200,2834.6,26.7,100.0,82.0,0.0,USNM,HUC13,NaN
Chamita,36.9600,-106.6600,2560.3,22.4,98.0,80.0,0.0,USNM,HUC13,NaN
Elk Cabin,35.7000,-105.8100,2502.4,0.0,NaN,NaN,0.0,USNM,HUC13,NaN
Frisco Divide,33.7400,-108.9500,2438.4,0.0,NaN,NaN,-2.8,USNM,HUC15,NaN
Gallegos Peak,36.1900,-105.5600,2987.0,25.9,107.0,91.0,0.0,USNM,HUC13,NaN
Garita Peak,36.0100,-106.5500,3096.8,18.0,NaN,NaN,-0.5,USNM,HUC13,NaN
Hopewell,36.7200,-106.2600,3048.0,29.0,76.0,58.0,0.0,USNM,HUC13,NaN
Lookout Mountain,33.3600,-107.8300,2590.8,0.0,NaN,NaN,0.0,USNM,HUC15,NaN
Mcknight Cabin,33.0100,-107.8700,2816.4,0.0,NaN,NaN,0.0,USNM,HUC13,NaN
Navajo Whiskey Ck,36.1800,-108.9500,2758.4,24.6,NaN,NaN,-0.5,USNM,HUC14,NaN
North Costilla,36.9900,-105.2600,3230.9,10.9,91.0,62.0,0.0,USNM,HUC13,NaN
Palo,36.4100,-105.3300,2849.9,17.3,NaN,NaN,0.0,USNM,HUC13,NaN
Quemazon,35.9200,-106.3900,2895.6,15.2,81.0,67.0,-0.5,USNM,HUC13,NaN
Red River Pass #2,36.7000,-105.3400,3002.3,12.9,74.0,60.0,-0.5,USNM,HUC13,NaN
Rice Park,35.2300,-108.2700,2578.6,14.2,NaN,NaN,-0.5,USNM,HUC13,NaN
Rio Santa Barbara,36.0700,-105.6300,3250.4,29.5,NaN,NaN,0.0,USNM,HUC13,NaN
San Antonio Sink,36.8600,-106.2300,2773.7,21.8,NaN,NaN,0.0,USNM,HUC13,NaN
Santa Fe,35.7700,-105.7800,3488.4,34.3,114.0,91.0,0.0,USNM,HUC13,NaN
Senorita Divide #2,36.0000,-106.8300,2621.3,21.8,106.0,94.0,0.0,USNM,HUC13,NaN
Shuree,36.7900,-105.2400,3078.5,16.8,NaN,NaN,-0.8,USNM,HUC13,NaN
Sierra Blanca,33.4000,-105.7900,3133.3,12.7,NaN,NaN,0.0,USNM,HUC13,NaN
Signal Peak,32.9200,-108.1500,2548.1,NaN,NaN,NaN,NaN,USNM,HUC15,NaN
Silver Creek Divide,33.3700,-108.7100,2743.2,27.2,132.0,108.0,0.0,USNM,HUC15,NaN
Taos Powderhorn,36.5800,-105.4600,3370.2,34.3,NaN,NaN,0.0,USNM,HUC13,NaN
Tolby,36.4700,-105.1900,3102.9,18.3,102.0,90.0,0.0,USNM,HUC11,NaN
Tres Ritos,36.1300,-105.5300,2621.3,0.0,NaN,NaN,0.0,USNM,HUC13,NaN
Vacas Locas,36.0300,-106.8100,2836.5,25.6,NaN,NaN,0.0,USNM,HUC13,NaN
Wesner Springs,35.7800,-105.5400,3389.4,27.7,89.0,77.0,0.0,USNM,HUC13,NaN
Bear Creek,41.8300,-115.4500,2450.6,51.8,127.0,91.0,0.5,USNV,HUC17,NaN
Berry Creek,39.3200,-114.6200,2858.1,36.6,122.0,77.0,0.5,USNV,HUC16,NaN
Big Bend,41.7600,-115.6900,2102.5,35.0,160.0,140.0,0.5,USNV,HUC17,NaN
Big Creek Sum,39.2900,-117.1200,2647.2,44.5,128.0,85.0,0.8,USNV,HUC16,NaN
Big Meadow,39.4500,-119.9400,2510.0,50.3,109.0,85.0,0.0,USNV,HUC16,NaN
Bird Creek,39.4600,-114.6500,2297.3,9.7,NaN,NaN,0.0,USNV,HUC16,NaN
Bristlecone Trail,36.3200,-115.7000,2709.7,30.7,NaN,NaN,0.0,USNV,HUC15,NaN
Buckskin Lower,41.7500,-117.5300,2112.3,30.0,133.0,107.0,0.0,USNV,HUC16,NaN
Cave Mountain,39.1600,-114.6100,3224.2,27.9,NaN,NaN,-0.5,USNV,HUC16,NaN
Corduroy Flat,39.0000,-115.4200,2633.5,0.0,NaN,NaN,0.0,USNV,HUC16,NaN
Corral Canyon,40.2800,-115.5400,2574.0,42.7,134.0,87.0,1.3,USNV,HUC16,NaN
Diamond Peak,39.5600,-115.8400,2443.6,26.4,186.0,146.0,0.8,USNV,HUC16,NaN
Disaster Peak,41.9700,-118.1900,1908.0,20.8,121.0,95.0,0.0,USNV,HUC16,NaN
Dorsey Basin,40.8900,-115.2100,2408.8,48.0,158.0,116.0,0.0,USNV,HUC16,NaN
Draw Creek,41.6600,-115.3200,2234.8,39.1,154.0,128.0,0.5,USNV,HUC16,NaN
Dry Creek,40.8600,-115.2200,1998.0,29.7,NaN,NaN,-0.8,USNV,HUC16,NaN
Fawn Creek,41.8200,-116.1000,2143.0,52.1,150.0,114.0,0.0,USNV,HUC17,NaN
Fry Canyon,41.5700,-115.9400,2072.0,14.0,NaN,NaN,-1.3,USNV,HUC16,NaN
Golconda,40.8800,-117.5900,2016.6,30.7,NaN,NaN,0.5,USNV,HUC16,NaN
Granite Peak,41.6700,-117.5700,2591.7,59.4,133.0,91.0,1.0,USNV,HUC16,NaN
Green Mountain,40.3800,-115.5300,2494.8,52.8,152.0,126.0,0.0,USNV,HUC16,NaN
Hole-in-Mountain,40.9400,-115.1000,2488.1,67.6,189.0,132.0,1.0,USNV,HUC16,NaN
Jack Creek Upper,41.5500,-116.0100,2248.5,52.8,143.0,108.0,0.5,USNV,HUC17,NaN
Jacks Peak,41.5100,-116.0100,2567.6,NaN,NaN,NaN,NaN,USNV,HUC17,NaN
Kalamazoo,39.5600,-114.6300,2369.8,19.3,NaN,NaN,0.0,USNV,HUC16,NaN
Lamance Creek,41.5200,-117.6300,1949.2,39.1,154.0,124.0,0.5,USNV,HUC16,NaN
Lamoille #3,40.6400,-115.3800,2453.9,41.1,137.0,106.0,0.0,USNV,HUC16,NaN
Laurel Draw,41.7800,-116.0300,2036.7,43.4,174.0,157.0,0.0,USNV,HUC17,NaN
Lee Canyon,36.3100,-115.6800,2629.2,21.6,NaN,NaN,0.0,USNV,HUC15,NaN
Lewis Peak,40.3600,-116.8600,2246.4,39.9,NaN,NaN,1.0,USNV,HUC16,NaN
Little Valley,39.2500,-119.8800,1979.1,41.7,NaN,NaN,-0.8,USNV,HUC16,NaN
Marlette Lake,39.1600,-119.9000,2403.0,47.5,94.0,72.0,0.8,USNV,HUC16,NaN
Merritt Mountain,41.8900,-115.8600,2107.7,NaN,NaN,NaN,NaN,USNV,HUC17,NaN
Mt Rose Ski Area,39.3200,-119.8900,2682.5,81.8,100.0,74.0,0.5,USNV,HUC16,NaN
ONeil Creek,41.8600,-115.0800,1987.3,21.3,NaN,NaN,0.0,USNV,HUC17,NaN
Pole Canyon,40.8600,-115.1200,2365.2,52.8,NaN,NaN,-2.0,USNV,HUC16,NaN
Pole Creek R.S.,41.8700,-115.2500,2548.1,51.6,121.0,90.0,0.0,USNV,HUC17,NaN
Porter Canyon,39.4700,-117.6200,2190.6,13.5,NaN,NaN,0.0,USNV,HUC16,NaN
Rainbow Canyon,36.2500,-115.6300,2395.7,31.0,NaN,NaN,0.0,USNV,HUC15,NaN
Seventysix Creek,41.7400,-115.4700,2240.3,33.5,140.0,115.0,0.0,USNV,HUC17,NaN
Sheldon,41.9000,-119.4400,1787.7,2.5,NaN,NaN,2.5,USNV,HUC17,NaN
Summit Lk,41.4900,-119.0000,2321.1,23.4,NaN,NaN,0.5,USNV,HUC16,NaN
Taylor Canyon,41.2300,-116.0300,1927.9,16.5,123.0,100.0,0.0,USNV,HUC17,NaN
Toe Jam,41.3200,-116.3400,2343.9,62.0,NaN,NaN,0.5,USNV,HUC16,NaN
Vacarro Springs,39.4500,-115.9800,2404.9,33.8,NaN,NaN,0.5,USNV,HUC16,NaN
Ward Mountain,39.1300,-114.9600,2792.9,27.2,100.0,75.0,0.0,USNV,HUC15,NaN
Wheeler Peak,39.0100,-114.3100,3066.3,31.5,NaN,NaN,-3.0,USNV,HUC16,NaN
Aneroid Lake #2,45.2100,-117.1900,2255.5,33.8,72.0,50.0,0.0,USOR,HUC17,NaN
Annie Springs,42.8700,-122.1700,1831.8,96.0,NaN,NaN,2.5,USOR,HUC18,NaN
Arbuckle Mtn,45.1900,-119.2500,1758.7,46.0,120.0,90.0,0.8,USOR,HUC17,NaN
Bear Grass,44.3300,-122.0900,1438.7,94.7,NaN,NaN,3.3,USOR,HUC17,NaN
Beaver Reservoir,45.1500,-118.2200,1569.7,23.4,95.0,78.0,0.5,USOR,HUC17,NaN
Big Red Mountain,42.0500,-122.8500,1844.0,41.7,76.0,57.0,0.8,USOR,HUC17,NaN
Bigelow Camp,42.0800,-123.3400,1563.6,36.1,123.0,83.0,1.5,USOR,HUC17,NaN
Billie Creek Divide,42.4100,-122.2700,1609.3,71.1,133.0,122.0,3.6,USOR,HUC18,NaN
Blazed Alder,45.4300,-121.8600,1112.5,65.3,95.0,71.0,2.3,USOR,HUC17,NaN
Blue Mountain Spring,44.2500,-118.5200,1789.2,40.6,110.0,93.0,0.8,USOR,HUC17,NaN
Bourne,44.8300,-118.1900,1783.1,38.9,113.0,92.0,0.0,USOR,HUC17,NaN
Bowman Springs,45.3600,-118.4700,1380.7,20.6,107.0,87.0,0.0,USOR,HUC17,NaN
Cascade Summit,43.5900,-122.0600,1554.5,80.0,119.0,95.0,2.5,USOR,HUC17,NaN
Chemult Alternate,43.2300,-121.8100,1478.3,18.3,95.0,75.0,1.3,USOR,HUC18,NaN
Clackamas Lake,45.1000,-121.7500,1036.3,32.8,108.0,97.0,0.5,USOR,HUC17,NaN
Clear Lake,45.1900,-121.6900,1161.3,24.1,92.0,71.0,0.5,USOR,HUC17,NaN
Cold Springs Camp,42.5300,-122.1800,1810.5,67.8,111.0,90.0,3.6,USOR,HUC18,NaN
County Line,45.1900,-118.5500,1472.2,3.6,44.0,25.0,0.0,USOR,HUC17,NaN
Crazyman Flat,42.6400,-120.9500,1883.7,25.9,NaN,NaN,2.0,USOR,HUC18,NaN
Daly Lake,44.5200,-122.0900,1124.7,15.0,58.0,32.0,0.8,USOR,HUC17,NaN
Derr.,44.4500,-119.9300,1783.1,36.6,111.0,92.0,0.8,USOR,HUC17,NaN
Diamond Lake,43.1900,-122.1400,1609.3,24.1,71.0,59.0,2.3,USOR,HUC17,NaN
Eilertson Meadows,44.8700,-118.1100,1679.4,27.7,114.0,99.0,0.0,USOR,HUC17,NaN
Emigrant Springs,45.5600,-118.4500,1158.2,4.6,43.0,24.0,0.0,USOR,HUC17,NaN
Fish Creek,42.7100,-118.6300,2334.8,90.7,153.0,109.0,3.0,USOR,HUC17,NaN
Fish Lk.,42.3800,-122.3500,1420.4,27.9,106.0,87.0,1.5,USOR,HUC17,NaN
Fourmile Lake,42.4400,-122.2300,1819.7,69.6,112.0,97.0,3.6,USOR,HUC18,NaN
Gerber Reservoir,42.2100,-121.1300,1490.5,0.0,NaN,NaN,0.0,USOR,HUC18,NaN
Gold Center,44.7600,-118.3100,1649.0,26.7,111.0,96.0,0.0,USOR,HUC17,NaN
Greenpoint,45.6200,-121.7000,1008.9,NaN,NaN,NaN,NaN,USOR,HUC17,NaN
High Ridge,45.7000,-118.1100,1499.6,51.8,98.0,78.0,1.3,USOR,HUC17,NaN
Hogg Pass,44.4200,-121.8600,1460.0,54.4,96.0,65.0,0.0,USOR,HUC17,NaN
Holland Meadows,43.6700,-122.5700,1502.7,58.2,122.0,89.0,3.6,USOR,HUC17,NaN
Howard Prairie,42.2200,-122.3700,1396.0,4.1,NaN,NaN,0.0,USOR,HUC18,NaN
Irish Taylor,43.8000,-121.9500,1688.6,94.0,130.0,100.0,2.3,USOR,HUC17,NaN
Jump Off Joe,44.3900,-122.1700,1072.9,17.8,78.0,52.0,0.8,USOR,HUC17,NaN
King Mountain,42.7200,-123.2000,1322.8,11.7,139.0,54.0,1.5,USOR,HUC17,NaN
Lake Creek R.S.,44.2100,-118.6400,1597.2,37.1,145.0,122.0,2.0,USOR,HUC17,NaN
Little Meadows,44.6100,-122.2300,1225.3,55.4,98.0,71.0,1.5,USOR,HUC17,NaN
Lucky Strike,45.2700,-118.8500,1514.9,18.8,109.0,80.0,0.8,USOR,HUC17,NaN
Madison Butte,45.1100,-119.5000,1569.7,6.1,59.0,39.0,0.0,USOR,HUC17,NaN
Marion Forks,44.5900,-121.9700,789.4,22.9,103.0,74.0,0.8,USOR,HUC17,NaN
Mckenzie,44.2100,-121.8700,1453.9,93.5,108.0,84.0,2.8,USOR,HUC17,NaN
Milk Shakes,45.9800,-117.9500,1700.8,79.0,NaN,NaN,1.3,USOR,HUC17,NaN
Miller Woods,45.2500,-123.2800,128.0,2.5,NaN,NaN,-0.5,USOR,HUC17,NaN
Moss Springs,45.2700,-117.6900,1755.6,46.7,86.0,68.0,0.5,USOR,HUC17,NaN
Mt Hood Test Site,45.3200,-121.7200,1636.8,102.4,86.0,64.0,1.5,USOR,HUC17,NaN
Mt. Howard,45.2700,-117.1700,2411.0,34.5,110.0,68.0,0.0,USOR,HUC17,NaN
Mud Ridge,45.2500,-121.7400,1240.5,65.8,110.0,93.0,1.5,USOR,HUC17,NaN
New Crescent Lake,43.5100,-121.9800,1496.6,43.4,143.0,129.0,1.3,USOR,HUC17,NaN
North Fork,45.5500,-122.0000,932.7,47.2,102.0,76.0,1.8,USOR,HUC17,NaN
Ochoco Meadows,44.4300,-120.3300,1655.1,26.7,103.0,94.0,0.8,USOR,HUC17,NaN
Peavine Ridge,45.0400,-121.9300,1042.4,35.8,110.0,90.0,0.5,USOR,HUC17,NaN
